zone,path number,time 1,time 2,scene rating,scene rating - adjusted,inside,inside - adjusted,covered,covered - adjusted,distance (raw),distance - meters
nv,1,37,35,2,3,0,1,0,1,104.3,69.53
nv,2,12,13,1,4,0,1,0,1,49.3,32.87
nv,3,51,46,3,2,0,1,0,1,103.4,68.93
nv,5,22,22,2,3,0,1,0,1,53.4,35.60
nv,6,10,9,1,4,0,1,0,1,43.1,28.73
nv,7,10,10,1,4,0,1,0,1,43.8,29.20
nv,8,20,22,1,4,0,1,0,1,47.6,31.73
nv,9,47,50,2,3,0,1,0,1,90,60.00
nv,10,7,7,2,3,0,1,0,1,32.2,21.47
nv,11,8,8,1,4,0,1,0,1,30,20.00
nv,12,8,8,1,4,0,1,0,1,29.2,19.47
nv,13,47,45,2,3,0,1,0,1,105.2,70.13
nv,14,38,38,2,3,0,1,0,1,88.9,59.27
nv,16,22,22,2,3,0,1,0,1,50.5,33.67
nv,17,34,35,2,3,0,1,0,1,87,58.00
nv,18,19,20,1,4,0,1,0,1,52.1,34.73
nv,19,19,18,1,4,0,1,0,1,56.3,37.53
nv,20,32,30,2,3,0,1,0,1,60.9,40.60
nv,21,8,8,1,4,0,1,0,1,36.2,24.13
nv,22,10,9,1,4,0,1,0,1,46.7,31.13
nv,23,9,8,2,3,0,1,0,1,53.8,35.87
nv,24,44,46,2,3,0,1,0,1,89.8,59.87
nv,25,89,78,3,2,0,1,0,1,166.5,111.00
nw,1,190,97,4,1,0,1,0,1,174,116.00
nw,2,35,32,4,1,0,1,0,1,81,54.00
nw,3,85,86,4,1,0,1,0,1,266.9,177.93
nw,4,63,56,5,0,0,1,0,1,165.6,110.40
nw,5,58,53,4,1,0,1,0,1,117.4,78.27
nw,6,50,48,4,1,0,1,0,1,97.3,64.87
nw,7,25,25,4,1,0,1,0,1,34.2,22.80
nw,8,193,191,4,1,0,1,0,1,460.3,306.87
nw,9,40,40,5,0,0,1,0,1,92.3,61.53
pr,1,58,51,2,3,0,1,0,1,130.7,87.13
pr,2,50,41,2,3,0,1,0,1,118.2,78.80
pr,3,15,15,3,2,0,1,0,1,26.3,17.53
pr,4,23,19,3,2,0,1,0,1,28.9,19.27
pr,5,108,110,4,1,0,1,0,1,256.2,170.80
pr,6,61,54,3,2,0,1,0,1,166.4,110.93
pr,7,63,50,2,3,0,1,0,1,49.3,32.87
