Node:485,612 | Pred:532.329,627.047 | Edge:ud32 | Cost:287
Node:966.835,922.758 | Pred:931.879,919.434 | Edge:cb3 | Cost:506
Node:869.835,1025.44 | Pred:914.057,996.148 | Edge:cb30 | Cost:550
Node:727.321,756.405 | Pred:684.894,747.918 | Edge:cg12 | Cost:358
Node:721.274,628.782 | Pred:716.34,602.417 | Edge:ab23 | Cost:289
Node:1273.94,592.878 | Pred:1171.07,572.828 | Edge:pr9 | Cost:535
Node:666.894,564.788 | Pred:674.581,534.291 | Edge:pr44 | Cost:241
Node:622.901,1341.88 | Pred:577.02,1332.86 | Edge:pr18 | Cost:655
Node:499.186,756.566 | Pred:509.878,702.5 | Edge:cgi4 | Cost:332
Node:323.303,739.101 | Pred:362.063,582.373 | Edge:pr28 | Cost:336
Node:478.989,542.057 | Pred:567.051,475.837 | Edge:ud39 | Cost:238
Node:748.523,740.419 | Pred:714.047,713.128 | Edge:cg14 | Cost:348
Node:197.33,576.136 | Pred:244.713,536.103 | Edge:sv29 | Cost:354
Node:695.078,591.189 | Pred:666.894,564.788 | Edge:pr38 | Cost:251
Node:989.299,1017.05 | Pred:914.057,996.148 | Edge:cb26 | Cost:559
Node:1213.11,964.388 | Pred:1020.19,896.255 | Edge:ao1 | Cost:611
Node:626.092,765.736 | Pred:635.977,732.126 | Edge:cg26 | Cost:337
Node:159.552,549.01 | Pred:223.802,474.407 | Edge:sv6 | Cost:339
Node:685.926,908.084 | Pred:707.953,850.767 | Edge:cg38 | Cost:412
Node:440.295,564.966 | Pred:478.989,542.057 | Edge:ud43 | Cost:260
Node:1215.45,931.529 | Pred:1213.11,964.388 | Edge:pr13 | Cost:633
Node:1415.42,1017.58 | Pred:1213.11,964.388 | Edge:ao2 | Cost:704
Node:403.802,548.407 | Pred:478.989,542.057 | Edge:ud40 | Cost:277
Node:1025,1260.68 | Pred:1070.25,1104.95 | Edge:cb19 | Cost:651
Node:752.771,632 | Pred:759.747,590.848 | Edge:ab21 | Cost:300
Node:776.411,1392.5 | Pred:810.583,1251.56 | Edge:sq19 | Cost:691
Node:728.844,797.033 | Pred:715.404,777 | Edge:cg7 | Cost:366
Node:749.049,685.804 | Pred:752.771,632 | Edge:ab49 | Cost:323
